session_number,emotion,user_emotion,reaction_time,response_type
3,angry,angry,0.7227733135223389,Correct
3,happy,happy,0.5863568782806396,Correct
3,neutral,neutral,0.8755228519439697,Correct
3,angry,angry,0.651148796081543,Correct
3,angry,angry,0.755434513092041,Correct
3,angry,angry,1.2115490436553955,Correct
3,happy,happy,0.7792863845825195,Correct
3,neutral,neutral,0.6556868553161621,Correct
4,happy,happy,0.6473526954650879,Correct
4,angry,neutral,0.7599656581878662,Incorrect
4,angry,angry,0.8355894088745117,Correct
4,happy,happy,0.8561606407165527,Correct
4,neutral,neutral,0.8566129207611084,Correct
4,happy,happy,0.5529472827911377,Correct
4,neutral,neutral,0.6752896308898926,Correct
4,angry,angry,0.747056245803833,Correct
4,neutral,angry,1.299759864807129,Incorrect
4,happy,happy,1.195183277130127,Correct
4,neutral,neutral,1.2522270679473877,Correct
4,happy,happy,0.7073230743408203,Correct
4,angry,angry,1.403186321258545,Correct
4,happy,happy,0.7071447372436523,Correct
4,neutral,happy,0.0004284381866455078,Incorrect
4,happy,happy,0.5774681568145752,Correct
4,angry,angry,1.099635362625122,Correct
4,neutral,neutral,1.2048585414886475,Correct
4,neutral,angry,0.8082718849182129,Incorrect
4,angry,angry,0.7196543216705322,Correct
4,angry,angry,0.6403360366821289,Correct
4,angry,angry,0.61171555519104,Correct
4,happy,happy,0.6989994049072266,Correct
4,neutral,neutral,0.666872501373291,Correct
5,angry,angry,0.5915114879608154,Correct
5,neutral,neutral,0.767970085144043,Correct
5,happy,happy,1.0916759967803955,Correct
5,angry,neutral,0.9546253681182861,Incorrect
5,neutral,happy,0.6466035842895508,Incorrect
5,neutral,neutral,0.8593244552612305,Correct
5,neutral,neutral,0.8114562034606934,Correct
5,neutral,neutral,0.6403264999389648,Correct
5,angry,angry,0.7473888397216797,Correct
5,neutral,neutral,1.0751221179962158,Correct
5,happy,happy,0.616079568862915,Correct
5,neutral,happy,0.8030910491943359,Incorrect
5,happy,happy,0.9522519111633301,Correct
5,neutral,happy,0.687899112701416,Incorrect
5,happy,happy,0.6399598121643066,Correct
5,neutral,neutral,0.7711787223815918,Correct
5,happy,happy,0.6435732841491699,Correct
5,happy,happy,0.5795776844024658,Correct
5,neutral,neutral,0.8423898220062256,Correct
5,angry,angry,0.6443030834197998,Correct
5,neutral,neutral,0.8994100093841553,Correct
5,neutral,angry,1.4591152667999268,Incorrect
5,neutral,neutral,0.7156939506530762,Correct
5,happy,happy,1.2118606567382812,Correct
5,neutral,neutral,0.7122058868408203,Correct
6,neutral,neutral,1.2704572677612305,Correct
6,happy,happy,0.648245096206665,Correct
6,neutral,neutral,0.7278964519500732,Correct
6,angry,angry,0.776386022567749,Correct
6,angry,angry,0.7679657936096191,Correct
6,happy,happy,0.6353707313537598,Correct
6,angry,angry,0.9442832469940186,Correct
6,happy,happy,0.6482350826263428,Correct
6,neutral,neutral,1.251248836517334,Correct
6,angry,angry,0.8513529300689697,Correct
6,neutral,neutral,0.8671987056732178,Correct
6,angry,angry,0.6830415725708008,Correct
6,neutral,neutral,0.8802485466003418,Correct
6,happy,happy,0.6280019283294678,Correct
6,happy,happy,0.5865566730499268,Correct
6,happy,happy,0.5835733413696289,Correct
6,angry,angry,0.6519565582275391,Correct
6,happy,happy,0.7826840877532959,Correct
6,neutral,neutral,0.8162631988525391,Correct
6,happy,happy,0.5792031288146973,Correct
6,neutral,neutral,0.7202348709106445,Correct
6,angry,angry,0.6918661594390869,Correct
6,happy,happy,0.6593225002288818,Correct
6,angry,angry,0.7306728363037109,Correct
6,angry,neutral,1.195680856704712,Incorrect
7,happy,happy,0.6600427627563477,Correct
7,happy,happy,0.6108429431915283,Correct
7,angry,angry,1.131485939025879,Correct
7,happy,happy,0.8204452991485596,Correct
7,happy,happy,0.9839849472045898,Correct
7,angry,neutral,1.1921162605285645,Incorrect
7,happy,happy,0.6113147735595703,Correct
7,neutral,neutral,0.5793006420135498,Correct
7,angry,angry,0.6113796234130859,Correct
7,neutral,neutral,0.95210862159729,Correct
7,neutral,angry,0.69138503074646,Incorrect
7,neutral,neutral,0.7839264869689941,Correct
7,neutral,neutral,0.758547306060791,Correct
7,angry,angry,0.7711818218231201,Correct
7,angry,angry,1.0836102962493896,Correct
7,happy,happy,0.6912434101104736,Correct
7,happy,happy,0.9075541496276855,Correct
7,angry,angry,0.8432714939117432,Correct
7,angry,angry,1.1123383045196533,Correct
7,angry,angry,0.9393923282623291,Correct
7,happy,angry,0.8880589008331299,Incorrect
7,angry,angry,1.1951088905334473,Correct
7,neutral,neutral,1.2321202754974365,Correct
7,neutral,neutral,0.9030582904815674,Correct
8,angry,angry,1.0154943466186523,Correct
8,angry,angry,0.6910474300384521,Correct
8,happy,happy,1.3794300556182861,Correct
8,angry,angry,1.0993070602416992,Correct
8,happy,happy,1.0990543365478516,Correct
8,angry,angry,0.7959954738616943,Correct
8,happy,happy,0.527015209197998,Correct
8,neutral,neutral,1.1803228855133057,Correct
8,angry,angry,0.7072336673736572,Correct
8,angry,angry,0.7883665561676025,Correct
8,neutral,neutral,0.7844491004943848,Correct
8,neutral,neutral,0.7039005756378174,Correct
8,happy,happy,0.9045870304107666,Correct
8,happy,happy,0.7681229114532471,Correct
8,angry,angry,0.6881985664367676,Correct
8,neutral,neutral,1.0440547466278076,Correct
8,happy,happy,0.923736572265625,Correct
8,angry,neutral,1.1361291408538818,Incorrect
8,happy,happy,0.5455822944641113,Correct
8,neutral,neutral,0.7200181484222412,Correct
8,angry,angry,0.743898868560791,Correct
8,happy,happy,0.5632729530334473,Correct
8,angry,angry,0.5639739036560059,Correct
8,happy,neutral,1.3144028186798096,Incorrect
8,angry,angry,0.6563460826873779,Correct
