session_number,distractor_type,shape,response,reaction_time,correctness
1,angry,circle,circle,0.5890300273895264,Correct
1,neutral,triangle,triangle,0.533027172088623,Correct
1,neutral,circle,circle,0.5100204944610596,Correct
1,happy,circle,circle,0.5699036121368408,Correct
1,neutral,circle,circle,0.5303051471710205,Correct
1,angry,triangle,triangle,0.6215503215789795,Correct
1,neutral,circle,circle,0.546884298324585,Correct
1,neutral,square,square,0.6295051574707031,Correct
1,neutral,circle,circle,0.5081319808959961,Correct
1,angry,circle,circle,0.6457829475402832,Correct
1,neutral,triangle,triangle,0.6050357818603516,Correct
1,happy,square,square,0.6665711402893066,Correct
1,neutral,circle,circle,0.4766545295715332,Correct
1,happy,triangle,triangle,0.532883882522583,Correct
1,neutral,triangle,triangle,0.597578763961792,Correct
